province,district_number,form_type,issue,key,latest,killernay,delta
กรุงเทพมหานคร,5,party_list,missing_key,23,51,,
กรุงเทพมหานคร,12,party_list,missing_key,24,15,,
กรุงเทพมหานคร,19,party_list,missing_key,19,27,,
ขอนแก่น,7,party_list,missing_key,18,30,,
ขอนแก่น,7,party_list,missing_key,21,42,,
ชัยภูมิ,1,party_list,missing_key,16,59,,
ชัยภูมิ,1,party_list,missing_key,19,14,,
นครปฐม,3,party_list,missing_key,19,26,,
นครปฐม,3,party_list,missing_key,57,108,,
นครสวรรค์,6,party_list,missing_key,21,55,,
นครสวรรค์,6,party_list,missing_key,24,199,,
นครสวรรค์,6,party_list,missing_key,44,992,,
ปราจีนบุรี,1,party_list,missing_key,15,78,,
ปราจีนบุรี,1,party_list,missing_key,21,69,,
ปราจีนบุรี,1,party_list,missing_key,27,3995,,
ปราจีนบุรี,3,party_list,missing_key,48,347,,
ปราจีนบุรี,3,party_list,missing_key,52,21,,
ปัตตานี,2,party_list,missing_key,49,83,,
มหาสารคาม,6,party_list,missing_key,19,39,,
สกลนคร,1,party_list,missing_key,18,28,,
สกลนคร,1,party_list,missing_key,58,,45,
สงขลา,4,party_list,missing_key,3,125,,
สตูล,2,party_list,missing_key,22,43,,
อุตรดิตถ์,2,party_list,missing_key,19,44,,
