province,district_number,form_type,status,extra_keys,missing_keys,drive_id
กรุงเทพมหานคร,5,party_list,BAD_KEYS,,23,17KQ-MXVGSeRLj_TGp1R6zwTBBG_TKfOd
กรุงเทพมหานคร,12,party_list,BAD_KEYS,,24,17kN56fpRgdAKLnClJxTKRA74idHwxMCV
กรุงเทพมหานคร,15,party_list,NO_VOTES,,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57",missing::กรุงเทพมหานคร::15::party_list
กรุงเทพมหานคร,19,party_list,BAD_KEYS,,19,18CoxX7jIOV3Oo-m5jqj6FEvkPsSQ25UF
ขอนแก่น,7,party_list,BAD_KEYS,,"18,21",1GDCFtiEf56CaCcxbXLTodwrzB97ecoxJ
ชัยภูมิ,1,party_list,BAD_KEYS,,"16,19",1I_RDI6wG2NWTc_C9wNwRFVXql_oD273o
นครปฐม,3,party_list,BAD_KEYS,,"19,57",1JIM7_8xeyGmJfDlDfPovZWY_jG817FmD
นครพนม,2,party_list,NO_VOTES,,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57",missing::นครพนม::2::party_list
นครสวรรค์,6,party_list,BAD_KEYS,,"21,24,44",1487ZDm0vUn3rkEALvhKUvTHsIAStHHY-
บุรีรัมย์,1,party_list,NO_VOTES,,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57",missing::บุรีรัมย์::1::party_list
บุรีรัมย์,2,party_list,NO_VOTES,,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57",missing::บุรีรัมย์::2::party_list
บุรีรัมย์,3,party_list,NO_VOTES,,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57",missing::บุรีรัมย์::3::party_list
บุรีรัมย์,4,party_list,NO_VOTES,,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57",missing::บุรีรัมย์::4::party_list
บุรีรัมย์,5,party_list,NO_VOTES,,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57",missing::บุรีรัมย์::5::party_list
บุรีรัมย์,6,party_list,NO_VOTES,,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57",missing::บุรีรัมย์::6::party_list
บุรีรัมย์,7,party_list,NO_VOTES,,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57",missing::บุรีรัมย์::7::party_list
บุรีรัมย์,8,party_list,NO_VOTES,,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57",missing::บุรีรัมย์::8::party_list
บุรีรัมย์,9,party_list,NO_VOTES,,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57",missing::บุรีรัมย์::9::party_list
บุรีรัมย์,10,party_list,NO_VOTES,,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57",missing::บุรีรัมย์::10::party_list
ปราจีนบุรี,1,party_list,BAD_KEYS,,"15,21,27",1TAXGRGeK1vt5KXaiUbzwaxxkin1nPHuH
ปัตตานี,2,party_list,BAD_KEYS,,49,1gpZ3Cr_r6LR_LyapXIZO2EPou774f4RF
มหาสารคาม,6,party_list,BAD_KEYS,,19,1kxoESaaABDMAr6Y7TdVhSbfCUA2zUWlr
สกลนคร,1,party_list,BAD_KEYS,58,18,1kIm0liXTa7mJ1XM8TzzFkPE7mYqvtBqX
สงขลา,4,party_list,BAD_KEYS,,3,1E0O4j3G10-4XAREzQE2ll_XR9qgX6Nq1
สตูล,2,party_list,BAD_KEYS,,22,1C8Pi5_EoX5VwrgKwN2KsDNxAgu5rmfFB
อุดรธานี,6,party_list,NO_VOTES,,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57",missing::อุดรธานี::6::party_list
อุตรดิตถ์,2,party_list,BAD_KEYS,,19,1fx1cHJBn41Py_WC7uxiwqTsRQnR4O50j
