province,district_number,drive_id,valid_votes_extracted,sum_party_votes,delta_valid_minus_sum
กาฬสินธุ์,1,1VKae75PH9ewqe33kglXKzZdZQf1t2dJo,82880,83229,-349
ขอนแก่น,7,1GDCFtiEf56CaCcxbXLTodwrzB97ecoxJ,83257,83255,2
ชัยภูมิ,1,1I_RDI6wG2NWTc_C9wNwRFVXql_oD273o,81028,81101,-73
นครปฐม,3,1JIM7_8xeyGmJfDlDfPovZWY_jG817FmD,82526,82634,-108
นครสวรรค์,6,1487ZDm0vUn3rkEALvhKUvTHsIAStHHY-,81637,81602,35
ปราจีนบุรี,1,1TAXGRGeK1vt5KXaiUbzwaxxkin1nPHuH,80540,84682,-4142
ปัตตานี,2,1gpZ3Cr_r6LR_LyapXIZO2EPou774f4RF,75538,75511,27
มหาสารคาม,6,1kxoESaaABDMAr6Y7TdVhSbfCUA2zUWlr,85988,85984,4
สกลนคร,1,1kIm0liXTa7mJ1XM8TzzFkPE7mYqvtBqX,89020,89003,17
สงขลา,4,1E0O4j3G10-4XAREzQE2ll_XR9qgX6Nq1,95827,95319,508
สตูล,2,1C8Pi5_EoX5VwrgKwN2KsDNxAgu5rmfFB,92747,92744,3
อุตรดิตถ์,2,1fx1cHJBn41Py_WC7uxiwqTsRQnR4O50j,74563,74560,3
